Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,66194,2015,6,15,6.7,1.0,Y
IDCJAC0011,66194,2015,6,16,10.2,1.0,Y
IDCJAC0011,66194,2015,6,17,12.7,1.0,Y
IDCJAC0011,66194,2015,6,18,7.6,1.0,Y
IDCJAC0011,66194,2015,6,19,9.0,1.0,Y
IDCJAC0011,66194,2015,6,20,7.0,1.0,Y
IDCJAC0011,66194,2015,6,21,6.5,1.0,Y
IDCJAC0011,66194,2015,6,22,5.3,1.0,Y
IDCJAC0011,66194,2015,6,23,4.1,1.0,Y
IDCJAC0011,66194,2015,6,24,7.1,1.0,Y
IDCJAC0011,66194,2015,6,25,8.5,1.0,Y
IDCJAC0011,66194,2015,6,26,6.6,1.0,Y
IDCJAC0011,66194,2015,6,27,4.5,1.0,Y
IDCJAC0011,66194,2015,6,28,2.9,1.0,Y
IDCJAC0011,66194,2015,6,29,4.9,1.0,Y
IDCJAC0011,66194,2015,6,30,4.7,1.0,Y
IDCJAC0011,66194,2015,7,1,8.4,1.0,Y
IDCJAC0011,66194,2015,7,2,1.9,1.0,Y
IDCJAC0011,66194,2015,7,3,4.8,1.0,Y
IDCJAC0011,66194,2015,7,4,1.7,1.0,Y
IDCJAC0011,66194,2015,7,5,2.4,1.0,Y
IDCJAC0011,66194,2015,7,6,0.3,1.0,Y
IDCJAC0011,66194,2015,7,7,3.6,1.0,Y
IDCJAC0011,66194,2015,7,8,6.4,1.0,Y
IDCJAC0011,66194,2015,7,9,2.0,1.0,Y
IDCJAC0011,66194,2015,7,10,2.2,1.0,Y
IDCJAC0011,66194,2015,7,11,2.2,1.0,Y
IDCJAC0011,66194,2015,7,12,5.8,1.0,Y
IDCJAC0011,66194,2015,7,13,6.9,1.0,Y
IDCJAC0011,66194,2015,7,14,5.6,1.0,Y
IDCJAC0011,66194,2015,7,15,0.2,1.0,Y
IDCJAC0011,66194,2015,7,16,4.5,1.0,Y
IDCJAC0011,66194,2015,7,17,5.4,1.0,Y
IDCJAC0011,66194,2015,7,18,5.7,1.0,Y
IDCJAC0011,66194,2015,7,19,5.9,1.0,Y
IDCJAC0011,66194,2015,7,20,5.4,1.0,Y
IDCJAC0011,66194,2015,7,21,3.8,1.0,Y
IDCJAC0011,66194,2015,7,22,4.9,1.0,Y
IDCJAC0011,66194,2015,7,23,8.3,1.0,Y
IDCJAC0011,66194,2015,7,24,8.6,1.0,Y
IDCJAC0011,66194,2015,7,25,5.0,1.0,Y
IDCJAC0011,66194,2015,7,26,4.5,1.0,Y
IDCJAC0011,66194,2015,7,27,6.2,1.0,Y
IDCJAC0011,66194,2015,7,28,2.8,1.0,Y
IDCJAC0011,66194,2015,7,29,4.8,1.0,Y
IDCJAC0011,66194,2015,7,30,3.8,1.0,Y
IDCJAC0011,66194,2015,7,31,8.4,1.0,Y
IDCJAC0011,66194,2015,8,1,2.6,1.0,Y
IDCJAC0011,66194,2015,8,2,6.6,1.0,Y
IDCJAC0011,66194,2015,8,3,4.0,1.0,Y
IDCJAC0011,66194,2015,8,4,3.5,1.0,Y
IDCJAC0011,66194,2015,8,5,2.4,1.0,Y
IDCJAC0011,66194,2015,8,6,3.3,1.0,Y
IDCJAC0011,66194,2015,8,7,3.9,1.0,Y
IDCJAC0011,66194,2015,8,8,4.9,1.0,Y
IDCJAC0011,66194,2015,8,9,2.7,1.0,Y
IDCJAC0011,66194,2015,8,10,3.6,1.0,Y
IDCJAC0011,66194,2015,8,11,3.7,1.0,Y
IDCJAC0011,66194,2015,8,12,2.2,1.0,Y
IDCJAC0011,66194,2015,8,13,8.8,1.0,Y
IDCJAC0011,66194,2015,8,14,2.6,1.0,Y
IDCJAC0011,66194,2015,8,15,4.9,1.0,Y
IDCJAC0011,66194,2015,8,16,6.9,1.0,Y
IDCJAC0011,66194,2015,8,17,3.9,1.0,Y
IDCJAC0011,66194,2015,8,18,9.0,1.0,Y
IDCJAC0011,66194,2015,8,19,6.0,1.0,Y
IDCJAC0011,66194,2015,8,20,3.5,1.0,Y
IDCJAC0011,66194,2015,8,21,5.8,1.0,Y
IDCJAC0011,66194,2015,8,22,10.1,1.0,Y
IDCJAC0011,66194,2015,8,23,14.2,1.0,Y
IDCJAC0011,66194,2015,8,24,14.2,1.0,Y
IDCJAC0011,66194,2015,8,25,12.1,1.0,Y
IDCJAC0011,66194,2015,8,26,12.8,1.0,Y
IDCJAC0011,66194,2015,8,27,8.6,1.0,Y
IDCJAC0011,66194,2015,8,28,8.1,1.0,Y
IDCJAC0011,66194,2015,8,29,5.4,1.0,Y
